sigma_noise,realization,seed,exact_mean,exact_std,pinn_mean,pinn_std,mean_bias,bias_in_std_units,var_ratio,w1_research,w1_control,bfr
0.01,1,1001,0.4997012227108622,0.00553979865047148,0.4979353367998574,0.005243929749320203,-0.0017658859110047942,-0.3187635548548655,0.89603664175266,0.0017658859110048016,0.0006396336224704287,2.760777183951804
0.01,2,1002,0.5100567730557682,0.005508832399558263,0.5073150695149997,0.005271324629911067,-0.0027417035407685253,-0.4976923133453609,0.9156308275363126,0.0027417035407685613,0.0003055391052290319,8.973331052708891
0.01,3,1003,0.5152108316442437,0.005529568848843106,0.5144382437238654,0.005674605927058028,-0.0007725879203783759,-0.1397193780379236,1.0531467090290076,0.0007996599211592434,0.0004383302346851307,1.8243321082646045
0.01,4,1004,0.5026904783947297,0.005586106300272571,0.5001860675365877,0.0059824264741786355,-0.0025044108581420144,-0.44832853574937603,1.146928508290158,0.0025044108581420126,0.0004662820372310888,5.371021523826855
0.01,5,1005,0.4938035070221961,0.00539378757937763,0.4906188381869773,0.005207933938236359,-0.0031846688352187846,-0.5904327503356486,0.9322733197172659,0.0031856344513080752,0.0008089519100136107,3.937977538435476
0.02,1,2001,0.5170382597591324,0.012691610380133642,0.5136934084396555,0.011162719797115766,-0.003344851319476927,-0.26354821959492286,0.7735824068581028,0.003376128996230356,0.0013185944282283289,2.56039986515531
0.02,2,2002,0.49732959473860794,0.011178493950102848,0.49432396541820206,0.011824725318221487,-0.003005629320405878,-0.268876051981757,1.1189624943816625,0.003074604594716695,0.0007185223567307209,4.279066010842246
0.02,3,2003,0.4892664026225515,0.011631385515473503,0.4874900404503408,0.011101849271667961,-0.0017763621722107215,-0.1527214595240982,0.9110196669327945,0.0017763621722106972,0.0012826517910054412,1.3849138048747025
0.02,4,2004,0.49652690709581476,0.010954381243073965,0.49506220794705097,0.011002132411325964,-0.0014646991487637928,-0.13370898056791042,1.0087371879870364,0.0015017317916801436,0.0009226982294473825,1.6275438098321189
0.02,5,2005,0.49387952429205806,0.011017577882776287,0.4900992481774127,0.010691065206188519,-0.0037802761146453756,-0.3431131737724964,0.9416070431526586,0.0037885442419126033,0.0008703256196453082,4.353019325636517
0.05,1,5001,0.5489839681933261,0.028622494141628808,0.5464869643150543,0.029569587893114264,-0.0024970038782717863,-0.08723921353310837,1.06727317376056,0.003665459939043739,0.003081491153401507,1.189508506294953
0.05,2,5002,0.4373519406493873,0.02215320729715878,0.43773395868723164,0.022718088937864096,0.00038201803784432276,0.017244367044464054,1.0516479219769428,0.0011869957966599333,0.0017633535680989336,0.6731467915079731
0.05,3,5003,0.4807107317952545,0.026535931527230012,0.4758302483506881,0.024220835167707483,-0.004880483444566375,-0.18391980848903128,0.8331238217119665,0.0049052451068347675,0.0011710932266503046,4.1886034307151725
0.05,4,5004,0.4971352485185342,0.027402769527449324,0.499414085598082,0.02790011980154435,0.002278837079547791,0.08316083077898383,1.036628679931619,0.0025308233070180926,0.0040621573913838535,0.6230244333678854
0.05,5,5005,0.47815057517380755,0.02830511479527607,0.48010614494956316,0.027239340899222926,0.0019555697757556167,0.069088918730756,0.9261116526211947,0.002290642850837685,0.0019139959037863437,1.196785659941196
0.1,1,10001,0.5374117983306338,0.05788324462008822,0.5387589756267867,0.05889462559495017,0.0013471772961528572,0.02327404596951878,1.0352508501631696,0.0019611772106788274,0.00461489000483458,0.4249672708611233
0.1,2,10002,0.5574160168836183,0.059057998029425365,0.5566366875068972,0.0596247462443045,-0.000779329376721094,-0.013196000587977664,1.0192850291087987,0.001843399140265606,0.0013241043450761033,1.3921857043371124
0.1,3,10003,0.49464480806277095,0.05868817960469101,0.4897570034531461,0.054447880397940636,-0.004887804609624846,-0.08328431112615521,0.8607175891526536,0.004905769787762011,0.004011687896995557,1.2228692544691855
0.1,4,10004,0.49316467942525494,0.05216554812802483,0.4845347983708094,0.053699701602881976,-0.00862988105444551,-0.16543257694265698,1.0596835550875299,0.009691534934895036,0.008289845515021104,1.1690851074768627
0.1,5,10005,0.5022751713405531,0.059589583595168104,0.5054107870021121,0.0581292908912791,0.0031356156615589548,0.052620197564413884,0.9515888593814721,0.0032999284397896714,0.006284095155721572,0.5251238814843753
