model_id,level,level_idx,seed,adam_epochs,lbfgs_iters,training_time_s,e_global_pct,e_posterior_pct,rms_posterior_pct,l1_delta_log_lik_post,w1_quadrature,w1_mcmc,calibrated_bfr,kl_divergence,js_divergence,total_variation,exact_posterior_mean,pinn_posterior_mean,exact_posterior_std,pinn_posterior_std,status
24,level3_250ep_lbfgs,3,104,250,12,39.84649848937988,20.892228044990055,11.326308761604361,11.326724520000056,101.22258673524942,0.006470559650222169,0.0068784460936149325,11.182576030294436,0.714623957343995,0.14840751367823057,0.44431500113543737,0.506749522500052,0.5002789628498314,0.00562817956398818,0.005360880398391735,CONVERGED
25,level3_250ep_lbfgs,3,105,250,12,39.67751097679138,27.124958979772817,14.39803404462008,14.398440725475497,177.72783526281611,0.022690592744373666,0.024279975131813743,39.21442537473455,11.490972165284685,0.6509467944389733,0.9689718776902957,0.506749522500052,0.5294401152444256,0.00562817956398818,0.004883328441286507,CONVERGED
26,level3_250ep_lbfgs,3,106,250,12,39.330432653427124,24.472332368608807,13.81490615043684,13.81541700768507,152.48760271654362,0.01104135356470223,0.008870928214857096,19.081931454013528,2.108802322455034,0.34186544476915814,0.6881899918655743,0.506749522500052,0.49570816893535236,0.00562817956398818,0.005290641911308807,CONVERGED
27,level3_250ep_lbfgs,3,107,250,12,38.78340697288513,9.330362565860437,5.9535562330155996,5.953842759477631,21.306017518320157,0.0046721440433742595,0.0040736723811921035,8.07451114181847,0.35654513774892194,0.08122211143402161,0.3259884150806535,0.506749522500052,0.502077378456679,0.00562817956398818,0.005492819007092843,CONVERGED
28,level3_250ep_lbfgs,3,108,250,12,39.26402235031128,13.273376029386244,7.119362290474992,7.119704364318389,34.76650622853753,0.011531527059012395,0.011616250367222705,19.929061016905404,2.072017361886478,0.35022260379766734,0.6971813092758316,0.506749522500052,0.49521799544104034,0.00562817956398818,0.005565298098382847,CONVERGED
29,level3_250ep_lbfgs,3,109,250,12,40.315099477767944,15.314185912883504,8.318465440571728,8.318955749252556,45.71179219372507,0.012571794647564305,0.012664505417092091,21.726876357412056,2.6532917210083005,0.399451049328057,0.74759152214526,0.506749522500052,0.4941777278524898,0.00562817956398818,0.005357005237913304,CONVERGED
30,level3_250ep_lbfgs,3,110,250,12,38.89952111244202,16.92736027531207,8.824916486326845,8.825175028187713,68.76792566243712,0.011796360392512707,0.011211779877310828,20.386752321415962,2.5394822536553465,0.37095766714436273,0.7189572360155835,0.506749522500052,0.5185458828925645,0.00562817956398818,0.005324372444680576,CONVERGED
31,level4_450ep_lbfgs,4,101,450,20,69.86913895606995,3.861055166630647,1.6893738184085931,1.6895697777933143,4.171641234923152,0.00031777274350710004,0.0009541586161522797,0.5491824597430899,0.0015930766177742232,0.0003980865459610867,0.022556521326808274,0.506749522500052,0.5070672952435581,0.00562817956398818,0.005632461502258225,CONVERGED
32,level4_450ep_lbfgs,4,102,450,20,69.71128678321838,7.45852401148238,4.651255100846869,4.651407887692436,19.285315301181264,0.0001986113305793588,0.0006099284796958749,0.3432448543466195,0.0006257031748052728,0.00015671986436698168,0.014087263530213695,0.506749522500052,0.5065509111694732,0.00562817956398818,0.005636681405354579,CONVERGED
33,level4_450ep_lbfgs,4,103,450,20,72.03217625617981,2.9241609488397224,1.7901281843960404,1.7901283335411486,2.622434325540406,0.0008116054238047543,0.000689420631074779,1.4026359154241594,0.01033520678285777,0.0025990903960686454,0.05747696224611907,0.506749522500052,0.5059379170762482,0.00562817956398818,0.0056648478935863635,CONVERGED
34,level4_450ep_lbfgs,4,104,450,20,70.52445340156555,5.562056232338386,3.86752839259732,3.8675684400790598,12.339263152412732,0.0031228087735121336,0.003841922322619998,5.396912852301875,0.15068846710915793,0.03687885215891285,0.21799718162345258,0.506749522500052,0.5036267137265438,0.00562817956398818,0.005672047102761573,CONVERGED
35,level4_450ep_lbfgs,4,105,450,20,69.41759204864502,8.334351693787726,5.0576771065379615,5.057926050236844,23.058180012681586,0.002463971326663943,0.0017101723300550935,4.258294210445757,0.10475004219018469,0.02462081895360682,0.17763723583411972,0.506749522500052,0.5042855511733885,0.00562817956398818,0.005390754442770019,CONVERGED
36,level4_450ep_lbfgs,4,106,450,20,69.9328761100769,8.35487820516454,3.706412427668753,3.706568053163638,9.592267034158093,0.00498587930322981,0.004202956722638759,8.616715925696539,0.39095611248335,0.08993575505996407,0.3430971390380796,0.506749522500052,0.5017636431968241,0.00562817956398818,0.005601512124272851,CONVERGED
37,level4_450ep_lbfgs,4,107,450,20,69.47894930839539,3.4956844479086175,2.279677549851087,2.2796816819175096,6.518347916153958,0.00192766552336204,0.0010761948235930908,3.331437687191893,0.05972128584683158,0.01462009245452855,0.1368093819833146,0.506749522500052,0.5048218569766905,0.00562817956398818,0.005563753667957515,CONVERGED
38,level4_450ep_lbfgs,4,108,450,20,69.79109978675842,4.675766754455912,2.5224902124439117,2.5225216589499193,6.8864653902517015,0.0005114668530578142,0.000853137255351893,0.8839292550371678,0.004194598992492237,0.0010596185128495144,0.036476987213771635,0.506749522500052,0.5062380556469966,0.00562817956398818,0.005687730680369175,CONVERGED
39,level4_450ep_lbfgs,4,109,450,20,72.85805749893188,4.618038188094237,3.073990639261405,3.07404625058826,7.202307822103879,0.00181121544264233,0.0018784504060979674,3.1301858710004806,0.051208717482210404,0.012681254307904736,0.1273980060733127,0.506749522500052,0.5085607379426935,0.00562817956398818,0.005672820763202519,CONVERGED
40,level4_450ep_lbfgs,4,110,450,20,69.71751189231873,5.680761648328258,3.1111879824822872,3.1113651488018212,6.324604656592545,0.0017778394962694858,0.002254617222796956,3.0725047617807326,0.05203163144921838,0.012628343840907217,0.12697208803328106,0.506749522500052,0.5049716830037831,0.00562817956398818,0.005508789748004989,CONVERGED
41,level5_550ep_lbfgs,5,101,550,25,86.280916929245,2.799736259255974,1.449308691886392,1.449502652182146,3.660873136028022,0.0005723447911595394,0.0010349757974972692,0.9891399644951551,0.005221368715495382,0.0012988393699830381,0.04069683090762635,0.506749522500052,0.5073218672912111,0.00562817956398818,0.005615665655471878,CONVERGED
42,level5_550ep_lbfgs,5,102,550,25,86.7929470539093,5.135413874666847,3.096129835676942,3.096172963774959,9.764657103846451,0.0011769797081950296,0.0016257650247229844,2.0340844972432586,0.021880228165357195,0.0054315112431939944,0.08324765684902932,0.506749522500052,0.5079265022082461,0.00562817956398818,0.005636357861363456,CONVERGED
43,level5_550ep_lbfgs,5,103,550,25,85.62900900840759,2.3840022065066804,1.3966291817232837,1.3966298491907807,3.1712798425461903,0.0025259830416946567,0.0028284496035317444,4.365464340324106,0.10081112208285514,0.02466170829552823,0.1779359089382575,0.506749522500052,0.5042235394583574,0.00562817956398818,0.005607733616624853,CONVERGED
44,level5_550ep_lbfgs,5,104,550,25,84.81039643287659,3.6662955063783476,2.711721538374104,2.711744199826507,6.901991849455313,0.0025766965283274073,0.003409676851727365,4.453108601514493,0.10312945895490648,0.02544650800798133,0.18068617491016156,0.506749522500052,0.5041728259717257,0.00562817956398818,0.0056613077496468186,CONVERGED
45,level5_550ep_lbfgs,5,105,550,25,85.0832109451294,5.968305493148835,3.7683378661689684,3.768448479852692,15.34724145628361,0.004972831698329411,0.004419680091259562,8.59416674267387,0.40811084731276565,0.09148912035700377,0.34625543618606186,0.506749522500052,0.5017766908017236,0.00562817956398818,0.005465131657740776,CONVERGED
46,level5_550ep_lbfgs,5,106,550,25,84.72454881668091,5.888299885703262,2.6734123172282036,2.673520389774675,4.600613640077142,0.004728435584094576,0.004093686093956555,8.171795529567795,0.359002733483986,0.08233071977348283,0.3278648740855881,0.506749522500052,0.502021086915958,0.00562817956398818,0.005545037697822668,CONVERGED
47,level5_550ep_lbfgs,5,107,550,25,85.58730363845825,2.2168456613897316,1.6977754687196966,1.6977771356758362,3.67772207659025,0.003210290172938248,0.003268765676799908,5.548100300250908,0.16496983748768676,0.03952580277938854,0.22579667653343724,0.506749522500052,0.5035392323271143,0.00562817956398818,0.005564625865831945,CONVERGED
48,level5_550ep_lbfgs,5,108,550,25,84.92853164672852,2.7953656780099205,1.441001889242738,1.4410311865727221,4.055490775064445,0.0004798561833364295,0.0008143375652426959,0.8292989391701665,0.0036583072842492443,0.0009236100667174868,0.034011072778879076,0.506749522500052,0.5072293786833865,0.00562817956398818,0.005697909435599088,CONVERGED
49,level5_550ep_lbfgs,5,109,550,25,86.05728721618652,3.2190875937071346,1.8937828311085023,1.8938214824669748,3.2721635814586625,0.0008735153112120952,0.001389500383519503,1.5096300643670237,0.012094517716387693,0.0030116651784655194,0.06190031188155426,0.506749522500052,0.5058760071888398,0.00562817956398818,0.005610100668772078,CONVERGED
50,level5_550ep_lbfgs,5,110,550,25,86.02832794189453,4.267288243997011,2.526025197326442,2.526106479996796,4.632593556265087,0.0033824228051726793,0.0042434357970475515,5.84558403447321,0.1869801716089353,0.04414011031999475,0.2387702128428415,0.506749522500052,0.5033670996948805,0.00562817956398818,0.005506449002820825,CONVERGED
51,level6_800ep_lbfgs,6,101,800,30,123.39873385429382,2.1047661437712337,1.1050687055475286,1.105188174580242,1.7245340610018354,0.0004460117550138691,0.0005379453859127816,0.7708081882339801,0.0032146326779852762,0.0007980202272495605,0.03178343351215142,0.506749522500052,0.5063035107450391,0.00562817956398818,0.005586770005649439,CONVERGED
52,level6_800ep_lbfgs,6,102,800,30,124.18218898773193,2.4246272072187622,1.5378013514950635,1.537803494440367,2.8506090703968505,0.00037798158409951517,0.0006234787746809552,0.6532368188737476,0.002495687134565494,0.0006151228732061308,0.027451508916883874,0.506749522500052,0.506371540925844,0.00562817956398818,0.005546075471973788,CONVERGED
53,level6_800ep_lbfgs,6,103,800,30,125.81275033950806,1.6799241608680002,0.9336825981933592,0.9336885431348773,2.9506296653474546,0.0005507843470664611,0.0007191879249917478,0.9518786890644461,0.004843259079633323,0.0012046461647058965,0.03918026224417992,0.506749522500052,0.5061987381529864,0.00562817956398818,0.005597978323002958,CONVERGED
54,level6_800ep_lbfgs,6,104,800,30,123.47923803329468,2.183451399885187,1.5385747987980154,1.5385950620242623,3.835609098286628,0.0012120839397331592,0.0019290681965282543,2.0947524702441283,0.02297537249174219,0.005758416867602619,0.08560359758319164,0.506749522500052,0.5055374385603193,0.00562817956398818,0.0056576369795906115,CONVERGED
55,level6_800ep_lbfgs,6,105,800,30,124.02107357978821,3.8142558406033755,2.06017451339743,2.0601754490145585,9.050368860530204,0.0007588461036185707,0.0008623861785079687,1.311455995729209,0.009257572869443793,0.0022941781074327667,0.054109610526008094,0.506749522500052,0.5059906763964336,0.00562817956398818,0.005580175324784785,CONVERGED
56,level6_800ep_lbfgs,6,106,800,30,123.67253136634827,3.2054399103371947,1.5662476089510176,1.566297465703995,3.2149967899851464,0.0013836693621472394,0.0006687351510214826,2.3912905033599743,0.030235108610319635,0.007515486599310513,0.09791786336265337,0.506749522500052,0.5053658531379049,0.00562817956398818,0.005617812066872984,CONVERGED
57,level6_800ep_lbfgs,6,107,800,30,123.19649314880371,1.6093637872609363,1.2027064083480559,1.2027069814467706,2.286990001532589,0.004155653363124759,0.003642451116868084,7.181899588406668,0.277937189519762,0.06479123518276014,0.2901773304212812,0.506749522500052,0.5025938691369283,0.00562817956398818,0.0055425810513663075,CONVERGED
58,level6_800ep_lbfgs,6,108,800,30,123.30373954772949,2.004735204291217,0.9894112723916475,0.9894570944936872,2.619324364771068,0.0017318925564644375,0.0016626421730763315,2.993098160883131,0.046369618918343486,0.011555928255717371,0.12147067446113485,0.506749522500052,0.5084814150565165,0.00562817956398818,0.0057025329176798294,CONVERGED
59,level6_800ep_lbfgs,6,109,800,30,123.02519989013672,1.9883120644579686,1.1709751031565903,1.1709764210468898,2.6859066713551885,0.0008801087460954727,0.0005941568497592978,1.521024996315705,0.01221423229979691,0.003042656536407366,0.06228351794868645,0.506749522500052,0.5076296312461462,0.00562817956398818,0.005638213876009746,CONVERGED
60,level6_800ep_lbfgs,6,110,800,30,123.18955659866333,2.4183799911644153,1.545983636687177,1.5460220211745335,1.9128475666417888,0.00299806534218276,0.0038043629557497323,5.1813282691240286,0.14656278875500964,0.0349481771425879,0.212172423692918,0.506749522500052,0.5037514571578695,0.00562817956398818,0.005515920526421599,CONVERGED
